,1,2,3,4,5,6,7,8,9,10,11,12,13,14
TOR,20,17.5,15,47.5,,,,,,,,,,
EDM,13.5,13,12.5,35.2,25.8,,,,,,,,,
VAN,11.5,11.4,11.3,14.2,37.8,13.8,,,,,,,,
CBJ,9.5,9.7,9.8,3.1,27.3,33.2,7.4,,,,,,,
CGY,8.5,8.8,9,,9.1,35.5,25.4,3.7,,,,,,
WPG,7.5,7.8,8.2,,,17.5,39.3,18,1.7,,,,,
ARI,6.5,6.9,7.2,,,,27.9,39.1,11.6,0.8,,,,
BUF,6,6.4,6.8,,,,,39.2,34.8,6.6,0.2,,,
MTL,5,5.4,5.6,,,,,,51.9,28.6,3.4,0.1,,
COL,3.5,3.8,4.2,,,,,,,64,22.8,1.6,0.1,
NJD,3,3.3,3.6,,,,,,,,73.6,15.9,0.6,0
OTT,2.5,2.7,3,,,,,,,,,82.4,9.3,0.1
CAR,2,2.2,2.5,,,,,,,,,,90,3.3
BOS,1,1.1,1.3,,,,,,,,,,,96.6
